Project ID,Voluntary Registry,Type,Country,R_ratio,Vintage_Age,M_flag,T_flag,RiskScore
GS447,GOLD,Cookstoves,Uganda,60.5581054951678,19.0,0,0,1.0
VCS2404,VCS,Afforestation/Reforestation,India,47.96962709585713,15.0,0,1,0.9826344637470331
VCS2533,VCS,Cookstoves,India,25.19732850547537,4.0,0,1,0.9742089134165841
GS4240,GOLD,Afforestation/Reforestation,India,24.0,21.0,0,1,0.9727457461595349
VCS1566,VCS,REDD+,Colombia,28.834050802677645,13.0,0,1,0.9652398167471827
VCS3115,VCS,Sustainable Agriculture,India,50.0,9.0,0,0,0.9524338867505375
GS633,GOLD,Hydropower,Türkiye,18.63767073918868,18.0,1,0,0.950589415778927
VCS249,VCS,Wind,India,18.35492849048891,20.0,1,1,0.9477552923604442
VCS2347,VCS,Manure Methane Digester,Türkiye,27.24041248996998,7.0,0,1,0.9381711704107828
VCS438,VCS,Hydropower,China,15.064078421087558,20.0,1,0,0.9364263960247522
ACR360,ACR,Improved Forest Management,United States,26.539566997844215,9.0,0,1,0.9360201522503707
GS11488,GOLD,Cookstoves,Bangladesh,24.13030480666316,5.0,0,1,0.9351807947293308
GS11440,GOLD,Cookstoves,Kenya,46.83025098185709,5.0,0,0,0.9278821823382856
VCS3350,VCS,Afforestation/Reforestation,Brazil,25.84527621934218,9.0,0,1,0.9273715723796478
ACR255,ACR,Improved Forest Management,United States,24.73125660962075,10.0,0,1,0.915648797317345
CAR1674,CAR,Improved Forest Management,Mexico,38.506177986037954,5.0,0,0,0.9057619456752601
GS7312,GOLD,Cookstoves,Nigeria,26.75891872642714,9.0,0,0,0.9041083667140616
VCS1728,VCS,Wind,India,21.01088782407744,10.0,1,0,0.9040382461282458
VCS1742,VCS,Hydropower,India,18.36276711357515,12.0,1,0,0.9025429512160374
GS10716,GOLD,Cookstoves,India,34.552046160462304,6.0,0,0,0.9019652350563708
GS1117,GOLD,Solar - Centralized,Dominican Republic,19.19093742668499,10.0,1,0,0.9012937638192048
VCS1353,VCS,Wind,India,14.071185203820542,16.0,1,0,0.8900949359506962
CAR691,CAR,Ozone Depleting Substances Recovery & Destruction,United States,18.181727719043053,16.0,0,1,0.8795731548637513
ACR324,ACR,Improved Forest Management,United States,21.312415823421247,10.0,0,1,0.8776595494978251
CAR1568,CAR,Improved Forest Management,Mexico,27.24629260191194,5.0,0,0,0.8771585047386872
VCS1100,VCS,Hydropower,Türkiye,14.220604335264756,14.0,1,0,0.8753850772389764
VCS784,VCS,Biomass,India,13.14592290374753,17.0,1,0,0.8724828033730769
VCS92,VCS,Hydropower,India,11.345205207845844,19.0,1,0,0.8626090781736807
VCS883,VCS,Hydropower,China,13.304947304422813,15.0,1,0,0.8599766150687027
VCS1904,VCS,Wind,India,14.588401106560942,8.0,1,0,0.858202361128095
VCS2944,VCS,Cookstoves,India,14.773965858414478,4.0,0,1,0.8469956910511635
CAR1663,CAR,Improved Forest Management,Mexico,21.348264963469564,4.0,0,0,0.8420878885431864
VCS2691,VCS,Manure Methane Digester,China,22.298652398311464,6.0,0,0,0.8409810812037578
VCS2458,VCS,Sustainable Grassland Management,China,19.5686348426547,10.0,0,0,0.8357107595003923
GS464,GOLD,Cookstoves,Madagascar,15.0,18.0,0,0,0.8336591757524615
GS7468,GOLD,Wind,India,12.679921526708153,7.0,1,0,0.8320257244356585
VCS1382,VCS,REDD+,Brazil,17.65417737357958,13.0,0,0,0.8296869802705226
VCS2748,VCS,Sustainable Grassland Management,China,18.552499189201065,9.0,0,0,0.8274719371316108
GS11732,GOLD,Cookstoves,Tanzania,19.112315231682537,4.0,0,0,0.8215001910559688
VCS1851,VCS,Solar - Centralized,India,12.856464903517356,9.0,1,0,0.8189225273300232
ACR119,ACR,Landfill Methane,United States,5.33823928117118,28.0,0,1,0.8181508631664733
VCS1574,VCS,Solar - Distributed,India,12.93249753895077,10.0,1,0,0.8126811558392741
VCS1867,VCS,Wind,China,12.574250278811435,9.0,1,0,0.8123557327362683
GS886,GOLD,Cookstoves,Kenya,14.029096344183843,15.0,0,1,0.8104302980483552
VCS1328,VCS,Afforestation/Reforestation,India,16.641287291289565,12.0,0,0,0.808725353411452
VCS2657,VCS,Lighting,India,19.11888416212974,5.0,0,0,0.8080052264468612
GS707,GOLD,Landfill Methane,Türkiye,14.598351451759552,16.0,0,0,0.8051011868760614
VCS2603,VCS,Composting,China,12.650131496298377,4.0,0,1,0.8031053106016857
VCS2552,VCS,Afforestation/Reforestation,India,16.051687714224695,8.0,0,1,0.8024528441781722
GS7152,GOLD,Wind,India,11.862495354954596,7.0,1,0,0.8014352614087021
VCS191,VCS,Hydropower,China,7.394584802696606,20.0,1,1,0.8012089782057953
CAR1584,CAR,Improved Forest Management,Mexico,18.70870820468688,5.0,0,0,0.7991726358067975
GS407,GOLD,Cookstoves,Ghana,13.108062511768027,18.0,0,0,0.7989416473835383
VCS669,VCS,Wind,India,6.762991713082103,20.0,1,1,0.7960016400994153
GS11421,GOLD,Wind,Viet Nam,9.704100289149782,4.0,1,0,0.7952883904251916
VCS665,VCS,Afforestation/Reforestation,Brazil,12.488244942910509,17.0,0,1,0.7951745594274611
VCS2605,VCS,Landfill Methane,Türkiye,17.368359007438883,7.0,0,0,0.7943951322729474
GS6212,GOLD,Cookstoves,Nepal,16.723575060208724,9.0,0,0,0.7940277606517846
VCS981,VCS,REDD+,Brazil,14.812630552730148,14.0,0,0,0.7926800535828289
VCS607,VCS,Improved Forest Management,Canada,12.8971486129257,18.0,0,0,0.7899448794028145
VCS1464,VCS,Hydropower,Türkiye,10.440806571573845,15.0,1,0,0.7871801798390711
VCS173,VCS,Hydropower,India,7.369373622493121,20.0,1,0,0.7854938344421425
VCS2098,VCS,Waste Incineration,China,14.03924510288627,11.0,0,1,0.7839507943631577
VCS2923,VCS,Cookstoves,Viet Nam,16.627497096660935,4.0,0,0,0.7790207586723408
VCS251,VCS,Biomass,India,8.178046342276152,19.0,1,0,0.7787353576683704
VCS1257,VCS,Wind,India,10.325239862543633,14.0,1,0,0.7759830084327525
GS12241,GOLD,Wind,Kazakhstan,4.027583116673353,4.0,1,1,0.7752293953983375
GS4221,GOLD,Afforestation/Reforestation,Colombia,11.0,19.0,0,1,0.7750522172260641
GS1208,GOLD,Hydropower,Türkiye,11.0519197371551,11.0,1,0,0.7748821984450157
VCS903,VCS,Wind,China,9.512140455294332,16.0,1,0,0.7726841132835708
VCS78,VCS,Biomass,Brazil,3.358924946775159,24.0,1,1,0.7724406837204628
VCS875,VCS,REDD+,Brazil,12.676792328773471,17.0,0,0,0.7723795818686486
GS7557,GOLD,Community Boreholes,Kenya,17.091626871754144,5.0,0,0,0.7713775757413355
VCS2692,VCS,Manure Methane Digester,China,14.098501574589134,6.0,0,1,0.7666236134589638
VCS2846,VCS,Manure Methane Digester,China,14.257677743238023,6.0,0,1,0.7659836232454514
VCS1560,VCS,Wind,India,10.700092393577387,11.0,1,0,0.7631363476782441
VCS1815,VCS,Solar - Centralized,India,5.3914610286676785,9.0,1,1,0.7590389534811824
VCS403,VCS,Biomass,Thailand,5.650804692074973,20.0,1,1,0.7587690437196342
GS7071,GOLD,Solar - Centralized,India,9.798353186405455,7.0,1,0,0.7586248182263595
GS12188,GOLD,Biomass,Kenya,6.0,3.0,1,0,0.7567758635272387
GS7538,GOLD,Solar - Centralized,India,4.615223093258356,7.0,1,1,0.7566381890223354
VCS511,VCS,Waste Heat Recovery,China,9.629300844324575,20.0,0,1,0.755856968792761
VCS1446,VCS,Mine Methane Capture,China,12.606781630166076,16.0,0,0,0.7553375033968549
