Project ID,Project Name,Voluntary Registry,Type,Scope,Country,Region,Methodology / Protocol,Voluntary Status,Reduction / Removal,First Year of Project (Vintage),Total Credits  Issued,Total Credits  Retired,Total Credits Remaining,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,start_year,start_year_missing,Vintage_Age
ACR102,Air Bag Gas Substitution,ACR,SF6 Replacement,Chemical Processes,United States,North America,Emission reductions through industrial gas substitution,Completed,Reduction,2003.0,7984006,17666,7966340,0,0,0,0,0,0,0,1898382,3004613,3081011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR103,Inland Empire Anaerobic Ag Digester,ACR,Manure Methane Digester,Agriculture,United States,North America,"Monitoring, Reporting, and Verification Protocol for the Inland Empire Utilities Agency (IEUA) Anaerobic Digester Project",Completed,Reduction,2003.0,44202,28636,15566,0,0,0,0,0,0,0,8072,5848,4409,3632,7998,13210,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR105,Boa Vista A/R,ACR,Afforestation/Reforestation,Forestry & Land Use,Brazil,Latin America and the Caribbean,AR-ACM0001 Afforestation and reforestation of degraded land,Canceled,Impermanent Removal,2011.0,2572210,2572210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,15.0
ACR106,Brickyard LFG to Energy,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2006.0,138492,109452,29040,0,0,0,0,0,0,0,0,0,0,95330,43162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR107,Camargo Fuel Substitution,ACR,Fuel Switching,Industrial & Commercial,Bolivia,Latin America and the Caribbean,ACM0011 Fuel switching from coal and/or petroleum fuels to natural gas in existing power plants for electricity generation,Completed,Reduction,2005.0,1138,127,1011,0,0,0,0,0,0,0,0,0,316,352,342,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,21.0
ACR109,Chesapeake Mizer Pneumatic Retrofit,ACR,Pneumatic Retrofit,Industrial & Commercial,United States,North America,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,Completed,Reduction,2008.0,541804,200000,341804,0,0,0,0,0,0,0,0,0,0,0,0,39727,109153,110384,105596,92762,84182,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,18.0
ACR110,Chicago LFG to Energy,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2006.0,62262,52219,10043,0,0,0,0,0,0,0,0,0,0,43632,18630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR111,Devon Mizer Pneumatic Retrofit,ACR,Pneumatic Retrofit,Industrial & Commercial,United States,North America,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,Completed,Reduction,2010.0,5724,0,5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,16.0
ACR112,Dolton LFG to Energy,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2006.0,159336,145389,13947,0,0,0,0,0,0,0,0,0,0,104769,54567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR113,Greater New Bedford LFG,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2003.0,713162,206271,506891,0,0,0,0,0,0,0,117945,113158,112306,119996,127178,122579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),ACR,Afforestation/Reforestation,Forestry & Land Use,United States,North America,ACR Afforestation and Reforestation of Degraded Lands,Registered,Impermanent Removal,2009.0,7790211,4306556,3483655,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,42898,16608,369621,477297,182626,1054928,165976,1107890,307508,1362647,1179164,804970,716959,0,0,0,2009,0,17.0
ACR115,Lower Mississippi Valley Reforestation,ACR,Afforestation/Reforestation,Forestry & Land Use,United States,North America,AR-ACM0001 Afforestation and reforestation of degraded land,Canceled,Impermanent Removal,2011.0,13422,0,13422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,15.0
ACR117,Merit Energy Geo-Seq,ACR,Carbon Capture & Enhanced Oil Recovery,Carbon Capture & Storage,United States,North America,Emission Reductions from Enhanced Oil Recovery,Completed,Reduction,2000.0,7308664,3492244,3816420,0,0,0,0,991518,718342,736816,1038287,964224,796699,874554,817249,370975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,26.0
ACR118,Monell Geo-Seq,ACR,Carbon Capture & Enhanced Oil Recovery,Carbon Capture & Storage,United States,North America,Emission Reductions from Enhanced Oil Recovery,Completed,Reduction,2004.0,1748409,883500,864909,0,0,0,0,0,0,0,0,259387,415078,364909,340713,368322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR119,North Country LFG,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,1998.0,1592397,362722,1229675,0,0,48826,74895,114507,114478,110796,121401,131433,147174,172771,156075,122404,108593,128923,40121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,28.0
ACR120,Petrosource Geo-Seq,ACR,Carbon Capture & Enhanced Oil Recovery,Carbon Capture & Storage,United States,North America,Emission Reductions from Enhanced Oil Recovery,Completed,Reduction,2003.0,2181419,2142066,39353,0,0,0,0,0,0,0,284527,331,719748,523532,653281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR121,Pike's Peak Geo-Seq,ACR,Carbon Capture & Enhanced Oil Recovery,Carbon Capture & Storage,United States,North America,Emission Reductions from Enhanced Oil Recovery,Completed,Reduction,2004.0,2866515,2079624,786891,0,0,0,0,0,0,0,0,483336,587212,781997,504139,509831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR122,Romeoville LFG to Energy,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2006.0,52496,52496,0,0,0,0,0,0,0,0,0,0,0,35491,17005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR123,Salt Creek Geo-Seq,ACR,Carbon Capture & Enhanced Oil Recovery,Carbon Capture & Storage,United States,North America,Emission Reductions from Enhanced Oil Recovery,Completed,Reduction,2004.0,7675073,6390607,1284466,0,0,0,0,0,0,0,0,1032153,1610328,736344,2057000,2239248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR124,Schneider Anti-Idling,ACR,Fleet Efficiency,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,42916,17625,25291,0,0,0,0,0,0,0,0,0,0,11839,13836,17241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR125,SEESA Solar Electrification,ACR,Solar - Distributed,Renewable Energy,El Salvador,Latin America and the Caribbean,AMS-I.A. Electricity generation by the user,Completed,Reduction,2004.0,169,0,169,0,0,0,0,0,0,0,0,5,18,52,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR126,Seneca Meadows LFG,ACR,Landfill Methane,Waste Management,United States,North America,Offset Project Methodology for Landfill Methane Collection and Combustion,Completed,Reduction,2010.0,2470626,1770485,700141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170626,409787,502389,639196,278098,470530,0,0,0,0,0,0,0,0,0,0,2010,0,16.0
ACR127,Steuben County DPW LFG,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2005.0,129180,109280,19900,0,0,0,0,0,0,0,0,0,19900,51249,58031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,21.0
ACR128,Streator LFG to Energy,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2006.0,47150,46745,405,0,0,0,0,0,0,0,0,0,0,32696,14454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR129,Tecnosol Solar Electrification,ACR,Solar - Distributed,Renewable Energy,Nicaragua,Latin America and the Caribbean,AMS-I.A. Electricity generation by the user,Completed,Reduction,2005.0,3913,0,3913,0,0,0,0,0,0,0,0,0,473,1586,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,21.0
